client_id_externe;nom_complet;telephone_principal;telephone_secondaire;sexe;date_naissance;secteur_principal;sous_secteur;revenu_mensuel_estime;annees_experience;niveau_education;situation_familiale;nombre_personnes_charge;zone_id;agence_code;adresse_activite;marche_principal;frequence_marche;latitude_activite;longitude_activite;agent_email;nb_collectes_12m;montant_total_collectes_12m;regularite_collecte_pct;taux_remboursement_pct;jours_retard_moyen;jours_retard_max;nb_incidents_paiement;montant_impaye_courant;date_premier_pret;montant_pret_actif;encours_restant;nb_prets_total
CLF001;Astride FOUDA BIYONG;+237 655 10 20 30;;F;1985-03-12;COMMERCE;Vente de vivres frais;175000;9;SECONDAIRE;MARIE;4;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Marché Mvog-Ada, Yaoundé;Marché Mvog-Ada;QUOTIDIEN;3.870000;11.518000;renekomtsindi99@gmail.com;24;5250000;0.92;0.97;1.2;5;0;0;2025-01-15;1400000;630000;2
CLF002;Gaston NKEMBI OWONA;+237 677 21 32 43;;M;1978-07-22;ARTISANAT;Menuiserie bois;230000;13;SECONDAIRE;MARIE;5;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Atelier menuiserie Mvolyé;Zone artisanale Mvolyé;HEBDOMADAIRE;3.862000;11.512000;renekomtsindi99@gmail.com;24;6900000;0.96;0.98;0.8;3;0;0;2025-01-15;1840000;828000;3
CLF003;Rosalie ONANA NGA;+237 699 33 44 55;;F;1991-11-08;AGRICOLE;Maraîchage;118000;6;PRIMAIRE;CELIBATAIRE;2;YDE-SUD;Agence Yaoundé Nlongkak;Champ Nkol-Bisson;Marché Melen;HEBDOMADAIRE;3.840000;11.500000;renekomtsindi99@gmail.com;24;3540000;0.94;0.95;2.1;7;1;0;2025-02-01;944000;424800;1
CLF004;Edmond ATANGANA BEBE;+237 670 44 55 66;;M;1979-05-30;TRANSPORT;Moto-taxi;315000;11;SECONDAIRE;MARIE;6;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Carrefour Nlongkak;;QUOTIDIEN;3.875000;11.520000;renekomtsindi99@gmail.com;24;9450000;0.91;0.96;1.5;6;0;0;2025-01-15;2520000;1134000;2
CLF005;Solange MBARGA ELANGA;+237 655 55 66 77;;F;1987-09-14;COMMERCE;Salon de coiffure;162000;8;SECONDAIRE;MARIE;3;YDE-EST;Agence Yaoundé Nlongkak;Avenue Kennedy, Yaoundé;Quartier Efoulan;QUOTIDIEN;3.880000;11.530000;renekomtsindi99@gmail.com;24;4860000;0.93;0.97;1.0;4;0;0;2025-01-15;1296000;583200;2
CLF006;Augustin NDZANA ONANA;+237 690 66 77 88;;M;1973-12-01;COMMERCE;Commerce général;285000;16;SECONDAIRE;MARIE;7;DLA-BASSA;Agence Douala Bassa;Marché Bassa, Douala;Marché Bassa;QUOTIDIEN;4.052000;9.720000;renekomtsindi99@gmail.com;24;8550000;0.90;0.96;2.0;8;1;0;2025-01-15;2280000;1026000;3
CLF007;Nadège ETOUNDI BEYALA;+237 677 77 88 99;;F;1994-04-25;AGRICOLE;Aviculture;148000;4;PRIMAIRE;CELIBATAIRE;1;DLA-BASSA;Agence Douala Bassa;Bassa Nord, Douala;Marché Sandaga;HEBDOMADAIRE;4.055000;9.720000;renekomtsindi99@gmail.com;24;4440000;0.95;0.98;0.5;2;0;0;2025-02-01;1184000;532800;1
CLF008;Valentin TABI ESSOMBA;+237 699 88 99 00;;M;1981-08-17;PECHE;Pêche artisanale;198000;11;PRIMAIRE;MARIE;5;DLA-BASSA;Agence Douala Bassa;Port Bassa, Douala;Port de Bassa;QUOTIDIEN;4.065000;9.710000;renekomtsindi99@gmail.com;24;5940000;0.91;0.95;2.5;9;1;0;2025-01-15;1584000;712800;2
CLF009;Clarisse MENDO OWONO;+237 655 99 00 11;;F;1989-02-28;ARTISANAT;Tissage raphia;132000;7;SECONDAIRE;MARIE;4;YDE-NORD;Agence Yaoundé Nlongkak;Briqueterie, Yaoundé;Marché central Ydé;BIMENSUEL;3.892000;11.506000;renekomtsindi99@gmail.com;24;3960000;0.92;0.96;1.8;6;0;0;2025-02-01;1056000;475200;1
CLF010;Joachim BELINGA NKOA;+237 670 00 11 22;;M;1971-06-10;SERVICES;Réparation électroménager;245000;19;SECONDAIRE;MARIE;6;YDE-NLONGKAK;Agence Yaoundé Nlongkak;Messa, Yaoundé;Rue Nachtigal;QUOTIDIEN;3.866000;11.514000;renekomtsindi99@gmail.com;24;7350000;0.94;0.97;1.2;5;0;0;2025-01-15;1960000;882000;3
